en.APP.INFO_DRAWER.TITLE,Details,Detalles
en_3.CORE.HOST_SETTINGS.TYPE-AUTH,Authentication type,Tipo de autenticación
en_3.CORE.HOST_SETTINGS.BASIC,Basic Authentication,Autenticación básica
en_3.CORE.HOST_SETTINGS.SSO,SSO,SSO
en_3.CORE.HOST_SETTINGS.IMPLICIT-FLOW,Implicit Flow,Flujo implícito
en_3.CORE.HOST_SETTINGS.PROVIDER,Provider,Proveedor
en_3.CORE.HOST_SETTINGS.REQUIRED,This field is required,Este campo es obligatorio
en_3.CORE.HOST_SETTINGS.CS_URL_ERROR,Content Services address doesn't match the URL format,La dirección de Content Services no coincide con el formato de la URL
en_3.CORE.HOST_SETTINGS.PS_URL_ERROR,Process Services address doesn't match the URL format,La dirección de Process Services no coincide con el formato de la URL
en_3.CORE.HOST_SETTINGS.TITLE,Settings,Configuración
en_3.CORE.HOST_SETTINGS.CS-HOST,Content Services URL,URL de Content Services
en_3.CORE.HOST_SETTINGS.BP-HOST,Process Services URL,URL de Process Services
en_3.CORE.HOST_SETTINGS.BACK,Back,Volver
en_3.CORE.HOST_SETTINGS.APPLY,APPLY,Aplicar
en_3.CORE.HOST_SETTINGS.NOT_VALID,"http(s)://host|ip:port(/path) not recognized, try a different URL.",http(s)://host|ip:port(/path) no reconocido; pruebe con una URL diferente.
en_3.CORE.HOST_SETTINGS.REDIRECT,Redirect URI,URI de redireccionamiento
en_3.CORE.HOST_SETTINGS.REDIRECT_LOGOUT,Redirect URI Logout,Cierre de sesión de URI de redireccionamiento
en_3.CORE.HOST_SETTINGS.SILENT,Silent Login,Inicio de sesión silencioso
en_3.CORE.HOST_SETTINGS.SCOPE,Scope,Ámbito
en_3.CORE.HOST_SETTINGS.CLIENT,Client ID,ID de cliente
en_3.CORE.HOST_SETTINGS.PUBLIC_URLS,Public urls silent Login,URL públicas para inicio de sesión silencioso
en_3.CORE.CARDVIEW.KEYVALUEPAIRS.ADD,Add New,Añadir nuevo
en_3.CORE.CARDVIEW.KEYVALUEPAIRS.NAME,Name,Nombre
en_3.CORE.CARDVIEW.KEYVALUEPAIRS.VALUE,Value,Valor
en_3.CORE.CARDVIEW.NONE,None,Ninguno
en_3.CORE.CARDVIEW.VALIDATORS.FLOAT_VALIDATION_ERROR,Use a number format,Utilizar un formato de número
en_3.CORE.CARDVIEW.VALIDATORS.INT_VALIDATION_ERROR,Use an integer format,Utilizar un formato de entero
en_3.CORE.CARDVIEW.MORE,More,Más
en_3.CORE.METADATA.BASIC.HEADER,Properties,Propiedades
en_3.CORE.METADATA.BASIC.NAME,Name,Nombre
en_3.CORE.METADATA.BASIC.TITLE,Title,Título
en_3.CORE.METADATA.BASIC.DESCRIPTION,Description,Descripción
en_3.CORE.METADATA.BASIC.AUTHOR,Author,Autor
en_3.CORE.METADATA.BASIC.MIMETYPE,Mimetype,Tipo MIME
en_3.CORE.METADATA.BASIC.SIZE,Size,Tamaño
en_3.CORE.METADATA.BASIC.CREATOR,Creator,Creador
en_3.CORE.METADATA.BASIC.CREATED_DATE,Created Date,Fecha de creación
en_3.CORE.METADATA.BASIC.MODIFIER,Modifier,Modificador
en_3.CORE.METADATA.BASIC.MODIFIED_DATE,Modified Date,Fecha de modificación
en_3.CORE.METADATA.ACTIONS.EDIT,Edit,Editar
en_3.CORE.METADATA.ACTIONS.SAVE,Save,Guardar
en_3.CORE.METADATA.ACTIONS.CANCEL,Cancel,Cancelar
en_3.CORE.METADATA.ACTIONS.CLEAR,Clear,Borrar
en_3.CORE.METADATA.ACTIONS.TOGGLE,Toggle value,Alternar valor
en_3.CORE.METADATA.ACTIONS.COPY_TO_CLIPBOARD,Double click to copy value,Haga doble clic para copiar el valor
en_3.CORE.METADATA.ACCESSIBILITY.EDIT,Edit button,Botón Editar
en_3.CORE.METADATA.ACCESSIBILITY.DATEPICKER,Use the arrow keys to navigate between dates. Up and down move to the next or previous week but on the same day. Left and right move to the next or previous day. Press Enter or Return to select a date.,Utilice las teclas de dirección para cambiar de fecha. Las teclas de arriba y abajo pasan al mismo día de la semana siguiente o anterior; y las de izquierda y derecha pasan al día siguiente o anterior. Pulse la tecla de entrada para seleccionar una fecha.
en_3.CORE.METADATA.ACCESSIBILITY.COPY_TO_CLIPBOARD_MESSAGE,Value copied to clipboard,Valor copiado al portapapeles
en_3.CORE.SEARCH.TOGGLE_ASC_DESC_ORDER,Toggle results between ascending and descending order,Alternar entre orden ascendente y descendente de resultados
en_3.CORE.SEARCH.SORT_BY,Sort by,Clasificar por
en_3.COMMENTS.NONE,No comments,No hay comentarios
en_3.COMMENTS.ADD,Add,Añadir comentario
en_3.COMMENTS.HEADER,Comments ({{ count }}),Comentarios ({{ count }})
en_3.COMMENTS.CREATED_BY_HEADER,Created by,Creado por
en_3.COMMENTS.MESSAGE_HEADER,Message,Mensaje
en_3.COMMENTS.DIALOG.TITLE,New comment,Nuevo comentario
en_3.COMMENTS.DIALOG.LABELS.MESSAGE,Message,Mensaje
en_3.COMMENTS.DIALOG.BUTTON.ADD,Add Comment,Añadir comentario
en_3.COMMENTS.DIALOG.BUTTON.CANCEL,Cancel,Cancelar
en_3.LOGIN.LOGO,"Alfresco, make business flow","Alfresco, make business flow"
en_3.LOGIN.LABEL.LOGIN,Sign in,Iniciar sesión
en_3.LOGIN.LABEL.USERNAME,Username,Nombre de usuario
en_3.LOGIN.LABEL.PASSWORD,Password,Contraseña
en_3.LOGIN.LABEL.REMEMBER,Remember me,Recordarme
en_3.LOGIN.ARIA-LABEL.SHOW-PASSWORD,Show password,Mostrar contraseña
en_3.LOGIN.ARIA-LABEL.HIDE-PASSWORD,Hide password,Ocultar contraseña
en_3.LOGIN.MESSAGES.USERNAME-REQUIRED,Required,Obligatorio
en_3.LOGIN.MESSAGES.USERNAME-MIN,Your username needs to be at least {{ minLength }} characters.,Su nombre de usuario debe tener al menos {{ minLength }} caracteres.
en_3.LOGIN.MESSAGES.PASSWORD-REQUIRED,Enter your password to sign in,Introduzca su contraseña para iniciar sesión
en_3.LOGIN.MESSAGES.LOGIN-ERROR-CREDENTIALS,You've entered an unknown username or password,Ha introducido un nombre de usuario o contraseña desconocidos
en_3.LOGIN.MESSAGES.LOGIN-ERROR-PROVIDERS,Providers cannot be undefined,Los proveedores no pueden estar no definidos
en_3.LOGIN.MESSAGES.LOGIN-ERROR-CORS,"CORS exception, check your server configuration","Excepción CORS, compruebe la configuración del servidor"
en_3.LOGIN.MESSAGES.LOGIN-ERROR-CSRF,"CSRF exception, set [disableCsrf]=""true"" in login.component","Excepción CSRF, configure [disableCsrf]=""true"" en login.component"
en_3.LOGIN.MESSAGES.LOGIN-ECM-LICENSE,Alfresco Content Services repository is in read-only mode,El repositorio de Alfresco Content Services está en modo solo lectura
en_3.LOGIN.MESSAGES.SSO-WRONG-CONFIGURATION,SSO Authentication server unreachable,No se puede conectar con el servidor de autenticación SSO
en_3.LOGIN.BUTTON.LOGIN,SIGN IN,Iniciar sesión
en_3.LOGIN.BUTTON.CHECKING,CHECKING,Comprobando
en_3.LOGIN.BUTTON.WELCOME,WELCOME,Bienvenido
en_3.LOGIN.BUTTON.SSO,SIGN IN SSO,Iniciar sesión en SSO
en_3.LOGIN.ACTION.HELP,NEED HELP?,¿Necesita ayuda?
en_3.LOGIN.ACTION.REGISTER,REGISTER,Registrarse
en_3.LOGIN.DIALOG.CANCEL,Cancel,Cancelar
en_3.LOGIN.DIALOG.CHOOSE,Choose,Elegir
en_3.ADF-DATATABLE.EMPTY.HEADER,This list is empty,Esta lista está vacía
en_3.ADF-DATATABLE.EMPTY.DRAG-AND-DROP.TITLE,Drag and drop,Arrastrar y soltar
en_3.ADF-DATATABLE.EMPTY.DRAG-AND-DROP.SUBTITLE,to upload files,para cargar ficheros
en_3.ADF-DATATABLE.CONTENT-ACTIONS.TOOLTIP,Content actions,Acciones de contenido
en_3.ADF-DATATABLE.ACCESSIBILITY.ACTIONS,Actions,Acciones
en_3.ADF-DATATABLE.ACCESSIBILITY.SELECT_ALL,Select all,Seleccionar todo
en_3.ADF-DATATABLE.ACCESSIBILITY.SELECT_FILE,Select file,Seleccionar un fichero
en_3.ADF-DATATABLE.ACCESSIBILITY.SORT_ASCENDING,Ascending,Ascendente
en_3.ADF-DATATABLE.ACCESSIBILITY.SORT_DESCENDING,Descending,Descendente
en_3.ADF-DATATABLE.ACCESSIBILITY.SORT_NONE,None,Ninguno
en_3.ADF-DATATABLE.ACCESSIBILITY.SORT_DEFAULT,Sortable,Se puede ordenar
en_3.ADF-DATATABLE.ACCESSIBILITY.SORT_ASCENDING_BY,Ascending by {{ string }},Ascendente por {{ string }}
en_3.ADF-DATATABLE.ACCESSIBILITY.SORT_DESCENDING_BY,Descending by {{ string }},Descendente por {{ string }}
en_3.ADF-DATATABLE.ACCESSIBILITY.ICON_TEXT,Item type {{ type }},Tipo de elemento {{ type }}
en_3.ADF-DATATABLE.ACCESSIBILITY.ICON_DISABLED,Disabled,Desactivado
en_3.ADF-DATATABLE.ACCESSIBILITY.ROW_OPTION_BUTTON,Actions,Acciones
en_3.ADF-DATATABLE.FILE_TYPE.DOCUMENT,Document,Documento
en_3.ADF-DATATABLE.FILE_TYPE.FOLDER,Folder,Carpeta
en_3.ADF-DATATABLE.FILE_TYPE.PDF,PDF,PDF
en_3.ADF-DATATABLE.FILE_TYPE.IMAGE,Image,Imagen
en_3.ADF-DATATABLE.FILE_TYPE.EXCEL,Excel spreadsheet,Hoja de Excel
en_3.ADF-DATATABLE.FILE_TYPE.WORD,Word document,Documento de Word
en_3.ADF-DATATABLE.FILE_TYPE.POWERPOINT,Powerpoint presentation,Presentación de Powerpoint
en_3.ADF-DATATABLE.FILE_TYPE.VIDEO,Video,Vídeo
en_3.ADF-DATATABLE.FILE_TYPE.AUDIO,Audio,Audio
en_3.ADF-DATATABLE.FILE_TYPE.WEBSITE,Website,Sitio web
en_3.ADF-DATATABLE.FILE_TYPE.ARCHIVE,Archive,Archivo
en_3.ADF-DATATABLE.FILE_TYPE.PRESENTATION,Presentation,Presentación
en_3.ADF-DATATABLE.FILE_TYPE.SPREADSHEET,Spreadsheet,Hoja de cálculo
en_3.ADF-DATATABLE.FILE_TYPE.MISCELLANEOUS,Miscellaneous,Varios
en_3.USER_PROFILE.LABELS.ECM.JOB_TITLE,Job Title,Cargo
en_3.USER_PROFILE.LABELS.BPM.TENANT,Tenant,Inquilino
en_3.USER_PROFILE.TAB.CS,Content Services,Content Services
en_3.USER_PROFILE.TAB.PS,Process Services,Process Services
en_3.ADF_VIEWER.ACTIONS.BACK,Back,Volver
en_3.ADF_VIEWER.ACTIONS.OPEN_WITH,Open with,Abrir con
en_3.ADF_VIEWER.ACTIONS.DOWNLOAD,Download,Descargar
en_3.ADF_VIEWER.ACTIONS.PRINT,Print,Imprimir
en_3.ADF_VIEWER.ACTIONS.SHARE,Share,Compartir
en_3.ADF_VIEWER.ACTIONS.MORE_ACTIONS,More actions,Más acciones
en_3.ADF_VIEWER.ACTIONS.INFO,Info,Información
en_3.ADF_VIEWER.ACTIONS.FULLSCREEN,Activate full-screen mode,Activar el modo de pantalla completa
en_3.ADF_VIEWER.ACTIONS.CLOSE,Close,Cerrar
en_3.ADF_VIEWER.ACTIONS.NEXT_FILE,Next File,Fichero siguiente
en_3.ADF_VIEWER.ACTIONS.PREV_FILE,Previous File,Fichero anterior
en_3.ADF_VIEWER.ARIA.PREVIOUS_PAGE,Previous page,Página anterior
en_3.ADF_VIEWER.ARIA.NEXT_PAGE,Next page,Página siguiente
en_3.ADF_VIEWER.ARIA.ZOOM_IN,Zoom in,Acercar
en_3.ADF_VIEWER.ARIA.ZOOM_OUT,Zoom out,Alejar
en_3.ADF_VIEWER.ARIA.FIT_PAGE,Fit page,Ajustar página
en_3.ADF_VIEWER.ARIA.ROTATE_LEFT,Rotate left,Girar a la izquierda
en_3.ADF_VIEWER.ARIA.ROTATE_RIGHT,Rotate right,Girar a la derecha
en_3.ADF_VIEWER.ARIA.RESET,Reset,Reiniciar
en_3.ADF_VIEWER.ARIA.THUMBNAILS,Document thumbnails,Miniaturas de documento
en_3.ADF_VIEWER.PAGE_LABEL.SHOWING,Showing,Mostrando
en_3.ADF_VIEWER.PAGE_LABEL.OF,of,de
en_3.ADF_VIEWER.LOADING,Loading,Cargando
en_3.ADF_VIEWER.UNKNOWN_FORMAT,Couldn't load preview. Unknown format.,No se ha podido cargar la vista previa. Formato desconocido.
en_3.ADF_VIEWER.SIDEBAR.THUMBNAILS.PAGE,Page {{ pageNum }},Página {{ pageNum }}
en_3.ADF_VIEWER.SIDEBAR.METADATA.MORE_INFORMATION,More information,Más información
en_3.ADF_VIEWER.SIDEBAR.METADATA.LESS_INFORMATION,Less information,Menos información
en_3.ADF_VIEWER.PDF_DIALOG.SUBMIT,Submit,Enviar
en_3.ADF_VIEWER.PDF_DIALOG.CLOSE,Close,Cerrar
en_3.ADF_VIEWER.PDF_DIALOG.PLACEHOLDER,Password,Contraseña
en_3.ADF_VIEWER.PDF_DIALOG.ERROR,Password is wrong,La contraseña es incorrecta
en_3.ERROR_CONTENT.UNKNOWN.TITLE,We hit a problem.,Ha surgido un problema.
en_3.ERROR_CONTENT.UNKNOWN.DESCRIPTION,Looks like something went wrong.,Parece que algo ha ido mal.
en_3.ERROR_CONTENT.UNKNOWN.RETURN_BUTTON.TEXT,Back to home,Volver al inicio
en_3.ERROR_CONTENT.403.TITLE,You don't have permission to access this server.,No tiene permiso para acceder a este servidor.
en_3.ERROR_CONTENT.403.DESCRIPTION,You're not allowed access to this resource on the server.,No tiene permitido acceder a este recurso en el servidor.
en_3.ERROR_CONTENT.403.SECONDARY_BUTTON.TEXT,Report issue,Notificar problema
en_3.ERROR_CONTENT.403.RETURN_BUTTON.TEXT,Back to home,Volver al inicio
en_3.ERROR_CONTENT.404.TITLE,An error occurred.,Se ha producido un error.
en_3.ERROR_CONTENT.404.DESCRIPTION,We couldn’t find the page you were looking for.,No hemos podido encontrar la página que busca.
en_3.ERROR_CONTENT.404.RETURN_BUTTON.TEXT,Back to home,Volver al inicio
en_3.ERROR_CONTENT.500.TITLE,An error occurred.,Se ha producido un error.
en_3.ERROR_CONTENT.500.DESCRIPTION,"Internal server error, try again or contact IT support [500].",Error de servidor interno; vuelva a intentarlo o póngase en contacto con el equipo de TI [500].
en_3.ERROR_CONTENT.500.RETURN_BUTTON.TEXT,Back to home,Volver al inicio
en_3.ERROR_CONTENT.502.TITLE,An error occurred.,Se ha producido un error.
en_3.ERROR_CONTENT.502.DESCRIPTION,"Bad Gateway, try again or contact IT support [502].",Puerta de enlace incorrecta; vuelva a intentarlo o póngase en contacto con el equipo de TI [502].
en_3.ERROR_CONTENT.502.RETURN_BUTTON.TEXT,Back to home,Volver al inicio
en_3.ERROR_CONTENT.504.TITLE,An error occurred.,Se ha producido un error.
en_3.ERROR_CONTENT.504.DESCRIPTION,"The server timed out, try again or contact IT support [504].",Se ha agotado el tiempo de espera del servidor; vuelva a intentarlo o póngase en contacto con el equipo de TI [504].
en_3.ERROR_CONTENT.504.RETURN_BUTTON.TEXT,Back to home,Volver al inicio
en_3.ABOUT.VERSION,Version,Versión
en_3.ABOUT.SERVER_SETTINGS.TITLE,Server settings,Configuración del servidor
en_3.ABOUT.SERVER_SETTINGS.DESCRIPTION,The values below are taken from the AppConfigService,Los valores siguientes se han tomado de AppConfigService
en_3.ABOUT.SERVER_SETTINGS.CONTENT_SERVICE_HOST,Alfresco Content Services URL: {{ value }},URL de Alfresco Content Services: {{ value }}
en_3.ABOUT.SERVER_SETTINGS.PROCESS_SERVICE_HOST,Alfresco Process Services URL: {{ value }},URL de Alfresco Process Services: {{ value }}
en_3.ABOUT.VERSIONS.TITLE,Product Versions,Versiones de productos
en_3.ABOUT.VERSIONS.CONTENT_SERVICE,ECM,ECM
en_3.ABOUT.VERSIONS.PROCESS_SERVICE,BPM,BPM
en_3.ABOUT.VERSIONS.LABELS.EDITION,Edition,Edición
en_3.ABOUT.VERSIONS.LABELS.VERSION,Version,Versión
en_3.ABOUT.VERSIONS.LABELS.LICENSE,License,Licencia
en_3.ABOUT.VERSIONS.LABELS.STATUS,Status,Estado
en_3.ABOUT.VERSIONS.LABELS.MODULES,Modules,Módulos
en_3.ABOUT.SOURCE_CODE.TITLE,Source code,Código fuente
en_3.ABOUT.SOURCE_CODE.DESCRIPTION,You are running the project based on the following commit,Está ejecutando el proyecto en función de la siguiente confirmación
en_3.ABOUT.PACKAGES.TITLE,Packages,Paquetes
en_3.ABOUT.PACKAGES.DESCRIPTION,Current project is using the following ADF libraries,El proyecto actual utiliza las bibliotecas ADF siguientes
en_3.ABOUT.TABLE_HEADERS.MODULES.ID,ID,ID
en_3.ABOUT.TABLE_HEADERS.MODULES.TITLE,Title,Título
en_3.ABOUT.TABLE_HEADERS.MODULES.DESCRIPTION,Description,Descripción
en_3.ABOUT.TABLE_HEADERS.MODULES.INSTALL_DATE,Install Date,Fecha de instalación
en_3.ABOUT.TABLE_HEADERS.MODULES.INSTALL_STATE,Install State,Estado de instalación
en_3.ABOUT.TABLE_HEADERS.MODULES.VERSION_MIN,Version Minor,Versión menor
en_3.ABOUT.TABLE_HEADERS.MODULES.VERSION_MAX,Version Max,Versión mayor
en_3.ABOUT.TABLE_HEADERS.STATUS.READ_ONLY,ReadOnly,Solo lectura
en_3.ABOUT.TABLE_HEADERS.STATUS.AUDIT_ENABLED,Is Audit Enabled,Compatible con auditoría
en_3.ABOUT.TABLE_HEADERS.STATUS.QUICK_SHARE_ENABLED,Is Quick Shared Enabled,Compatible con Quick Share
en_3.ABOUT.TABLE_HEADERS.STATUS.THUMBNAIL_ENABLED,Thumbnail Generation,Generación de miniatura
en_3.ABOUT.TABLE_HEADERS.LICENSE.ISSUES_AT,Issued At,Expedida el
en_3.ABOUT.TABLE_HEADERS.LICENSE.EXPIRES_AT,Expires At,Caduca el
en_3.ABOUT.TABLE_HEADERS.LICENSE.REMAINING_DAYS,Remaining Days,Días restantes
en_3.ABOUT.TABLE_HEADERS.LICENSE.HOLDER,Holder,Titular
en_3.ABOUT.TABLE_HEADERS.LICENSE.MODE,Mode,Modo
en_3.ABOUT.TABLE_HEADERS.LICENSE.CLUSTER_ENABLED,Is Cluster Enabled,Compatible con clústeres
en_3.ABOUT.TABLE_HEADERS.LICENSE.CRYPTODOC_ENABLED,Is Cryptodoc Enabled,Compatible con Cryptodoc
en_3.ABOUT.EXTENSIONS.TITLE,Plugins,Complementos
en_3.ABOUT.EXTENSIONS.TABLE_HEADERS.ID,ID,ID
en_3.ABOUT.EXTENSIONS.TABLE_HEADERS.NAME,Name,Nombre
en_3.ABOUT.EXTENSIONS.TABLE_HEADERS.VERSION,Version,Versión
en_3.ABOUT.EXTENSIONS.TABLE_HEADERS.VENDOR,Vendor,Proveedor
en_3.ABOUT.EXTENSIONS.TABLE_HEADERS.LICENSE,License,Licencia
en_3.ABOUT.EXTENSIONS.TABLE_HEADERS.RUNTIME,Runtime,Tiempo de ejecución
en_3.ABOUT.EXTENSIONS.TABLE_HEADERS.DESCRIPTION,Description,Descripción
en_3.CLIPBOARD.CLICK_TO_COPY,Click to copy,Haga clic para copiar
en_3.CLIPBOARD.SUCCESS_COPY,Text copied to clipboard,Texto copiado al portapapeles
en_6.ADF_CLOUD_PROCESS_LIST.MESSAGES.TITLE,No Processes Found,No se han encontrado procesos
en_6.ADF_CLOUD_PROCESS_LIST.MESSAGES.SUBTITLE,Create a new process that you want to easily find later,Cree un nuevo proceso que desee encontrar fácilmente después
en_6.ADF_CLOUD_PROCESS_LIST.MESSAGES.NONE,No process instance filter selected.,No se ha seleccionado ningún filtro de instancias.
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.NAME,Name,Nombre
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.CREATED,Created,Creado
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.STATUS,Status,Estado
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.START_DATE,Start Date,Fecha de inicio
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.ID,Id,ID
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.INITIATOR,Initiator,Iniciador
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.APP_NAME,Application Name,Nombre de la aplicación
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.BUSINESS_KEY,Business Key,Clave de negocio
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.DESCRIPTION,Description,Descripción
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.LAST_MODIFIED,Last Modified,Modificada por última vez
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.PROCESS_NAME,Process Name,Nombre del proceso
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.PARENT_TASK_ID,Parent Task Id,ID de tarea primaria
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.PROCESS_DEF_ID,Process Definition Id,ID de definición del proceso
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.PROCESS_DEF_KEY,Process Definition Key,Clave de definición de proceso
en_6.ADF_CLOUD_PROCESS_LIST.PROPERTIES.APP_VERSION,App Release Version,Versión de la aplicación
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.BUTTON,Start Process,Iniciar proceso
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.NO_PROCESS_DEFINITIONS,You can't start a process as there are no process definitions available,No puede iniciar un proceso porque no hay definiciones de procesos disponibles
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.FORM.TITLE,Start Process,Iniciar proceso
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.FORM.LABEL.TYPE,Select Process,Seleccionar proceso
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.FORM.LABEL.NAME,Process Name,Nombre del proceso
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.FORM.TYPE_PLACEHOLDER,Choose one,Elegir una
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.FORM.ACTION.START,Start Process,Iniciar proceso
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.FORM.ACTION.CANCEL,Cancel,Cancelar
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.ERROR.LOAD_PROCESS_DEFS,"Couldn't load process definitions, check you have access.",No se han podido cargar las definiciones de procesos; compruebe que tiene acceso.
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.ERROR.START,"Couldn't start new process instance, check you have access.",No se ha podido iniciar una nueva instancia de proceso; compruebe que tiene acceso.
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.ERROR.PROCESS_NAME_REQUIRED,Process Name is required,Se requiere el nombre del proceso
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.ERROR.PROCESS_DEFINITION_REQUIRED,Process Definition is required,Se requiere la definición del proceso
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.ERROR.MAXIMUM_LENGTH,"Length exceeded, {{characters}} characters max.","Longitud excedida, {{characters}} caracteres como máx."
en_6.ADF_CLOUD_PROCESS_LIST.ADF_CLOUD_START_PROCESS.ERROR.SPACE_VALIDATOR,Cannot begin or end with a space.,No puede comenzar ni terminar con un espacio.
en_6.ADF_CLOUD_TASK_LIST.APPS.NO_APPS.TITLE,No Applications Found,No se han encontrado aplicaciones
en_6.ADF_CLOUD_TASK_LIST.APPS.NO_APPS.SUBTITLE,Create a new application that you want to easily find later,Cree una nueva aplicación que desee encontrar fácilmente después
en_6.ADF_CLOUD_TASK_LIST.APPS.ERROR.TITLE,There was an error,Se ha producido un error
en_6.ADF_CLOUD_TASK_LIST.APPS.ERROR.SUBTITLE,Check you have permission to access the apps,Compruebe que dispone de permiso de acceso a las aplicaciones
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.TITLE,Start Task,Iniciar tarea
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.LABEL.NAME,Name,Nombre
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.LABEL.DESCRIPTION,Description,Descripción
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.LABEL.ATTACHFORM,Attach Form,Adjuntar formulario
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.LABEL.ASSIGNEE,Assignee,Usuario asignado
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.LABEL.CANDIDATE_GROUP,Candidate Group,Grupo de candidatos
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.LABEL.FORM,Form,Formulario
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.LABEL.DATE,Choose Date,Elegir fecha
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.LABEL.NONE,None,Ninguno
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.ACTION.START,Start,Comenzar
en_6.ADF_CLOUD_TASK_LIST.START_TASK.FORM.ACTION.CANCEL,Cancel,Cancelar
en_6.ADF_CLOUD_TASK_LIST.PROPERTIES.NAME,Name,Nombre
en_6.ADF_CLOUD_TASK_LIST.PROPERTIES.ASSIGNEE,Assignee,Usuario asignado
en_6.ADF_CLOUD_TASK_LIST.PROPERTIES.ID,Id,ID
en_6.ADF_CLOUD_TASK_LIST.PROPERTIES.STATUS,Status,Estado
en_6.ADF_CLOUD_TASK_LIST.PROPERTIES.PRIORITY,Priority,Prioridad
en_6.ADF_CLOUD_TASK_LIST.PROPERTIES.CREATED_DATE,Created Date,Fecha de creación
en_6.ADF_CLOUD_TASK_LIST.PROPERTIES.LAST_MODIFIED,Last Modified,Modificada por última vez
en_6.ADF_CLOUD_TASK_LIST.PROPERTIES.CREATED,Created,Creado
en_6.ADF_CLOUD_TASK_LIST.PROPERTIES.JSON_CELL,Json,Json
en_6.ADF_CLOUD_TASK_LIST.LIST.MESSAGES.TITLE,No Tasks Found,Ninguna tarea encontrada
en_6.ADF_CLOUD_TASK_LIST.LIST.MESSAGES.SUBTITLE,Create a new task that you want to easily find later,Cree una nueva tarea que desee encontrar fácilmente más adelante
en_6.ADF_CLOUD_TASK_LIST.LIST.MESSAGES.NONE,No task lists found,No se han encontrado listas de tareas
en_6.ADF_CLOUD_TASK_FILTERS.MY_TASKS,My Tasks,Mis tareas
en_6.ADF_CLOUD_TASK_FILTERS.COMPLETED_TASKS,Completed Tasks,Tareas completadas
en_6.ADF_CLOUD_PROCESS_FILTERS.ALL_PROCESSES,All Processes,Todos los procesos
en_6.ADF_CLOUD_PROCESS_FILTERS.RUNNING_PROCESSES,Running Processes,Procesos en ejecución
en_6.ADF_CLOUD_PROCESS_FILTERS.COMPLETED_PROCESSES,Completed Processes,Procesos completados
en_6.ADF_CLOUD_START_TASK.ERROR.MESSAGE,Enter a different value,Introducir un valor diferente
en_6.ADF_CLOUD_START_TASK.ERROR.REQUIRED,Field required,Campo obligatorio
en_6.ADF_CLOUD_START_TASK.ERROR.DATE,Date format DD/MM/YYYY,Formato de fecha DD/MM/AAAA
en_6.ADF_CLOUD_START_TASK.ERROR.MAXIMUM_LENGTH,"Length exceeded, {{characters}} characters max.","Longitud excedida, {{characters}} caracteres como máx."
en_6.ADF_CLOUD_EDIT_TASK_FILTER.TITLE,Customize your filter,Personalice su filtro
en_6.ADF_CLOUD_EDIT_TASK_FILTER.TOOL_TIP.SAVE,Save filter,Guardar filtro
