EN,Product,Context,AR,CZ,DA,DE,ES,FI,FR,IT,JA,NL,NB,PL,PT-BR,RU,SV,ZH-CN
File Record,RM,Verb,تسجيل ملف,Založit záznam,Arkivér post,Record ablegen,Archivar documento de archivo,Arkistoi tietue,Classer le document d'archives,Archivia record,レコードの整理保管,Record archiveren,Arkivere oppføring,Rekord pliku,Arquivar documento arquivístico,Преобразовать запись в файл,Arkivera handling,立卷记录
Find,ACS,,بحث,Najít,Find,Suche,Encontrar,Etsi,Rechercher,Trova,検索,Zoeken,Finn,Znajdź,Localizar,Найти,Hitta,查找
Folder,ACS,as in: Files in a folder,مجلد,Složka,Mappe,Ordner,Carpeta,Kansio,Dossier,Cartella,フォルダ,Map,Mappe,Folder,Pasta,Папка,Mapp,文件夹
Form Editor,APS,,محرر النماذج,Editor formuláře,Formulareditor,Formular-Editor,Editor de formularios,Lomake-editori,Editeur de formulaire,Editor modulo,フォームエディタ,Formulier Editor,Skjemaredaktør,Edytor formularzy,Editor de formulários,Редактор форм,Formuläreditor,表单编辑器
Forms,APS,,نماذج,Formuláře,Formularer,Formulare,Formularios,Lomakkeet,Formulaires,Moduli,フォーム,Formulieren,Skjemaer,Formularze,Formulários,Формы,Formulär,表单
Freeze Record,RM,,,Zamrazit záznam,Frys en post,Fixiert einen Record,Congela un documento de archivo,Lukitse tietue,Gèle un document d'archives,Blocca un record,レコードを凍結します,Hiermee wordt een record bevroren,Fryser en oppføring,Zablokuj rekord,Congela um documento arquivístico,Закрепление записи,Frys handling,保存记录
Gateways,APS,,بوابات,Brány,Gateways,Gateways,Puertas de enlace,Yhdyskäytävät,Passerelles,Gateways,ゲートウェイ,Gateways,Gatewayer,Bramy,Gateways,Шлюзы,Gateways,分支
Getting started guide,ACS,,,Příručka Začínáme,Introduktionsvejledning,Leitfaden zum Einstieg,Guía de inicio,Aloitusopas,Guide de démarrage,Guida per iniziare,スタートガイド,Aan de slag-handleiding,Veiledning for å komme i gang,Wprowadzenie,Guia de introdução,Руководство по началу работы,Komigångguide,入门指南
Held At,RM,,محتفظ به في,Blokováno v,Sat i venteposition i,Gehalten in,Bloqueado en,Pitoon asettamisen aika,Suspendu à,Sospeso presso,ホールド日時,In wachtstand in,Holdes ved,Zablokowane w,Mantido em,Удерживается с,Begränsas vid,保存于
Held By,RM,,محتفظ به بواسطة,Blokováno (kým),Sat i venteposition af,Gehalten von,Bloqueado por,Pitoon asettaja,Suspendu par,Sospeso da,ホールド実行者,In wachtstand door,Holdes av,Zablokowane przez,Mantido por,Удерживается пользователем,Begränsas av,保存者
Held Records,RM,,السجلات المحتفظ بها,Blokované záznamy,Poster i venteposition,Gesperrte Records,Documentos de archivo bloqueados,Pitoon asetetut tietueet,Documents d'archives suspendus,Record sospesi,ホールドされたレコード,Records in wachtstand,Oppføringer på hold,Zablokowane rekordy,Documentos arquivísticos mantidos,Заблокированные записи,Begränsade handlingar,保存记录
Hide Record,RM,,,Skrýt záznam,Skjul post,Record ausblenden,Ocultar documento de archivo,Piilota tietue,Masquer le document d'archives,Nascondi record,レコードを非表示にする,Record verbergen,Skjul oppføring,Ukryj rekord,Ocultar documento arquivístico,Скрыть запись,Dölj handling,隐藏记录
Hold,RM,Noun,معلق,Blokovat,Venteposition,Sperrbereich,Bloqueo,Pito,Suspension,Sospensione,ホールド,Wachtstand,Hold,Blokada,Espera,Блокировка,Begränsa,保存
Hold Details,RM,,تفاصيل التعليق,Podrobnosti blokování,Detaljer for venteposition,Sperrdetails,Detalles de nuevo bloqueo,Pitotiedot,Informations sur la nouvelle suspension,Nuovi dettagli sospensione,新しいホールドの詳細,Details van wachtstand,Informasjon om hold,Szczegóły blokady,Detalhes da nova espera,Подробности новой блокировки,Information om begränsning,新的保存详细信息
Hold Reason,RM,,,Důvod blokování,Årsag til venteposition,Sperrgrund,Razón de bloqueo,Pidätyssyy,Motif de suspension,Motivo sospensione,ホールド理由,Reden van wachtstand,Grunn til holdet,Przyczyna blokady,Motivo para manter,Причина блокировки,Anledning till begränsning,保存原因
Home,ACS,,رئيسية,Domů,Hjem,Home,Inicio,Aloitussivu,Accueil,Home,ホーム,Start,Hjem,Strona główna,Página Inicial,Домашняя,Hem,主页
Host,ACS,,مضيف,Hostitel,Vært,Host,Host,Isäntä,Hôte,Host,ホスト,Host,Vert,Host,Host,Хост,Värd,主机
ICM Profile,RM,,ICM ملف تعريف,Profil ICM,ICM-profil,ICM-Profil,Perfil ICM,ICM-profiili,Profil ICM,Profilo ICM,ICM プロファイル,ICM-profiel,ICM-profil,Profil ICM,Perfil ICM,Профиль ICM,ICM-profil,ICM 配置文件
Icon,APS,,أيقونة,Ikona,Ikon,Symbol,Icono,Kuvake,Icône,Icona,アイコン,Pictogram,Ikon,Ikona,Ícone,Значок,Ikon,图标
Identity link,APS,,,Odkaz na identitu,Identitetslink,ID-Links,Enlace de identidad,Käyttäjätietolinkki,Lien d'identité,Link di identità,ID リンク,Identity links,Identitetslenk,Link tożsamości,Links para identidade,Ссылки средства идентификации,Identitetslänk,身份链接
Inbound Email,ACS,,,Příchozí e-mail,Indgående e-mail,Eingehende E-Mails,Correo entrante,Saapuva sähköposti,Email entrant,Posta in arrivo,着信 E メール,Inkomende e-mail,Innkommende e-post,Przychodząca poczta e-mail,Email de entrada,Входящие сообщения,Inkommande e-post,入站电子邮件
Index,ACS,,,Index,Indeks,Index,Indice,Indeksi,Index,Indice,インデックス,Index,Indeks,Indeks,Índice,Индекс,Index,索引
Instance,APS,,حالة,Instance,Forekomst,Instanz,Instancia,Esiintymä,Instance,Istanze,インスタンス,Instance,Tilfeller,Wystąpienie,Instância,Экземпляры,Instans,实例
Job,ACS,"As in ""Replication Job""",,Úloha,Job,Job,Trabajo,Työ,Tâche,Job,ジョブ,Taak,Jobb,Zadanie,Trabalho,Задание,Jobb,作业
Job executor,APS,,ُنفذ الوظائف,Exekutor úlohy,Jobudøver,Auftragsausführer,Ejecutor de trabajos,Työn suorittaja,Exécuteur de travail,Job executor,ジョブ実行プログラム,Job executor,Jobbutøver,Wykonawca zadania,Executor de trabalhos,Исполнитель задания,Jobbutförare,作业执行器
Link,ACS,Noun. As in: Action 'Link Category',رابط,Odkaz,Link,Link,Enlace,Linkki,Lien,Collega,リンク,Koppelen,Kobling,Link,Link,Ссылка,Länk,链接
Location,ACS,"As in Working Copy Location""  ""Local Copy Location""  ""Path Location""",,Umístění,Placering,Speicherort,Ubicación,Sijainti,Emplacement,Località,"場所, 住所 (depends on the context)",Locatie,Sted,Lokalizacja,Localização,Местоположение,Plats,位置
Login,ACS,,دخول,Přihlásit (se),Login,Login,Iniciar sesión,Kirjaudu sisään,Connexion,Login,ログイン,Aanmelden,Logg inn,Zaloguj,Login,Войти,Logga in,登录
Logout,ACS,,خروج,Odhlásit (se),Logout,Abmelden,Cerrar sesión,Kirjaudu ulos,Déconnexion,Logout,ログアウト,Afmelden,Logg ut,Wyloguj,Logout,Выход,Logga ut,注销
Manager,ACS,"As in: Content Manager, Site Manager, Search Manager",مدير,Správce,Chef,Manager,Administrador,Vastaava,Gestionnaire,Manager,マネージャ,Beheerder,Administrator,Menedżer,Gerente,Менеджер,Hanterare,管理员
Master Configuration,APS,,تكوين رئيسي,Hlavní konfigurace,Masterkonfiguration,Masterkonfiguration,Configuración principal,Päämääritykset,Configuration principale,Configurazione principale,マスタ設定,Masterconfiguratie,Hovedkonfigurasjon,Konfiguracja główna,Configuração principal,Основная конфигурация,Huvudkonfiguration,主配置
Media Type,RM,,,Typ médií,Medietype,Medientyp,Tipo de medio,Mediatyyppi,Type de support,Tipo di supporto,メディアタイプ,Type medium,Medietype,Typ multimediów,Tipo de mídia,Тип медиа,Mediatyp,媒体类型
Menu,ACS,,,Nabídka,Menu,Menü,Menú,Valikko,Menu,Menu,メニュー,Menu,Meny,Menu,Menu,Меню,Meny,菜单
Metadata,ACS,,,Metadata,Metadata,Metadaten,Metadatos,Metatiedot,Métadonnées,Metadati,メタデータ,Metagegevens,Metadata,Metadane,Metadados,Метаданные,Metadata,元数据
Metadata Only Record,RM,,,Záznam pouze s metadaty,Post kun med metadata,Nur Metadaten enthaltender Record,Documento de archivo solo de metadatos,Vain metatiedot -tietue,Métadonnées d'archives seulement,Record di soli metadati,メタデータのみのレコード,Record met alleen metagegevens,Oppføring kun med metadata,Rekord zawierający tylko metadane,Documento arquivístico somente de metadados,Запись только с метаданными,Post med endast metadata,仅元数据记录
MIME type,ACS,,,Typ MIME,MIME-type,MIME-Type,Tipo MIME,MIME-tyyppi,Type MIME,Tipo MIME,MIME タイプ,MIME-type,MIME-type,Typ MIME,Tipo MIME,Тип MIME,MIME-typ,MIME 类型
Model,ACS,,,Model,Model,Modell,Modelo,Malli,Modèle,Modello,モデル,Model,Modell,Model,Modelo,Модель,Modell,模型
Modifier,ACS,,,Modifikátor,Modifikator,Bearbeiter,Modificador,Muokkaaja,Modificateur,Modificatore,変更者,Wijziger,Modifikator,Modyfikator,Modificador,Редактор,Modifierare,修改者
More...,ACS,,,Více…,Mere...,Mehr...,Más...,Lisää…,Plus...,Segue...,その他...,Meer...,Mer...,Więcej...,Mais...,Еще...,Mer...,更多...
Move to...,ACS,,,Přesunout do…,Flyt til...,Verschieben nach...,Mover a...,Siirrä kohteeseen…,Déplacer vers...,Sposta in...,移動先...,Verplaatsen naar...,Flytt til…,Przenieś do...,Mover para...,Переместить в...,Flytta till...,移动到...
My app definitions,APS,,تعريفات تطبيقاتي,Moje definice aplikací,Mine appdefinitioner,Meine Anwendungsdefinitionen,Mis definiciones de aplicaciones,Omat sovellusmääritelmät,Mes définitions d'application,Le mie definizioni di applicazione,あなたのアプリ定義,Mijn app-definities,Mine appdefinisjoner,Moje definicje aplikacji,Minhas definições de aplicativo,Мои определения приложения,Mina programdefinitioner,我的 APP 定义
My Process Tasks,APS,,مهام عملياتي,Moje procesní úkoly,Mine procesopgaver,Meine Prozessaufgaben,Mis tareas de procesos,Omat prosessitehtävät,Mes tâches de processus,I miei compiti processo,あなたのプロセスタスク,Mijn procestaken,Mine prosessoppgaver,Moje zadania procesu,Minhas tarefas de processo,Мои задачи процессов,Mina processuppgifter,我的流程任务
My Processes,APS,,عملياتي,Moje procesy,Mine processer,Meine Prozesse,Mis Procesos,Omat prosessit,Mes processus,I miei processi,あなたのプロセス,Mijn processen,Mine prosesser,Moje procesy,Meus processos,Мои процессы,Mina processer,我的流程
My reusable decision tables,APS,,,Moje opakovaně použitelné rozhodovací tabulky,Mine genanvendelige beslutningstabeller,Meine wiederverwendbaren Entscheidungstabellen,Mis tablas de decisiones reutilizables,Omat uudelleenkäytettävät päätöstaulukot,Mes tables de décision réutilisables,Le mie tabelle decisioni riutilizzabili,あなたの再利用可能な意思決定表,Mijn herbruikbare beslissingstabellen,Mine beslutningstabeller som kan brukes om igjen,Moje wielorazowe tabele decyzji,Minhas tabelas de decisão reutilizáveis,Мои многократно используемые таблицы принятия решения,Mina återanvändbara beslutstabeller,我的可重复使用的决策表
My reusable forms,APS,,,Moje opakovaně použitelné formuláře,Mine genanvendelige formularer,Meine wiederverwendbaren Formulare,Mis formularios reutilizables,Omat uudelleenkäytettävät lomakkeet,Mes formulaires réutilisables,I miei moduli riutilizzabili,あなたの再利用可能フォーム,Mijn herbruikbare formulieren,Mine skjemaer som kan brukes om igjen,Moje formularze wielorazowe,Meus formulários reutilizáveis,Мои многократно используемые формы,Mina återanvändbara formulär,我可重复使用的表单
My stencils,APS,,,Moje šablony,Mine elementer,Meine Vorlagen,Mis Plantillas,Omat kaavaimet,Mes gabarits,I miei stencil,あなたのステンシル,Mijn stencils,Mine stensiler,Moje wzorniki,Meus estênceis,Мои образцы,Mina schabloner,我的模板
My Workflow Tasks,APS,,مهام سير أعمالي ,Moje úlohy pracovního postupu,Mine workflowopgaver,Meine Workflow-Aufgaben,Mis tareas de flujo de trabajo,Omat työnkulkutehtävät,Mes tâches de workflow,I miei compiti workflow,あなたのワークフロータスク,Mijn workflowtaken,Mine arbeidsflytoppgaver,Moje zadania przepływu roboczego,Minhas tarefas de fluxo de trabalho,Мои задачи бизнес-процессов,Mina arbetsflödesuppgifter,我的工作流程任务
NARA,RM,,NARA,NARA,NARA,NARA,NARA,NARA,NARA,NARA (USA),NARA,Nationaal Archief,NARA,NARA,NARA,NARA,NARA,NARA
New Hold,RM,,ملكية جديدة,Nové blokování,Ny venteposition,Neue Sperre,Nuevo bloqueo,Uusi pito,Nouvelle suspension,Nuova sospensione,新しいホールド,Nieuwe wachtstand,Ny hold,Nowa blokada,Nova espera,Новая блокировка,Ny begränsning,新的保存
Next,ACS,"Please note that this refers to 2 different strings (pdfjs.page.next.label=Previous and button.next=Previous). Please try to provide an identical translation for both strings, if possible.",التالي,Další,Næste,Weiter,Siguiente,Seuraava,Suivant,Successivo,次へ,Volgende,Neste,Dalej,Próximo,Следующий,Nästa,下一个
Next retention action,RM,,إجراء الاستبقاء التالي,Další akce uchování,Næste opbevaringshandling,Nächste Aufbewahrungsaktion,Próxima acción de retención,Seuraava säilytystoiminto,Etape suivante du délai de conservation,Prossima azione di conservazione,次回の保管処理,Volgende retentieactie,Neste retensjonshandling,Następna czynność przechowywania,Próxima ação de retenção,Следующее действие по хранению,Nästa behållningsåtgärd,下一个保留操作
Node,ACS,,,Uzel,Node,Node,Nodo,Solmu,Nœuds,Nodo,ノード,Node,Node,Węzeł,Nó,Узел,Nod,节点
Node Browser,ACS,,,Prohlížeč uzlů,Nodebrowser,Node-Browser,Navegador de nodos,Solmuselain,Navigateur de nœuds,Browser nodi,ノードブラウザ,Nodebrowser,Nodeleser,Przeglądarka węzłów,Navegador de nós,Просмотр объектов,Nodnavigator,节点浏览器
Offline,ACS,"As in ""offline editing""",دون اتصال,Offline,Offline,Offline,Fuera de línea,Offline,Hors ligne,Offline,オフライン,Offline,Frakoblet,Offline,Offline,Автономный,Offline,离线
On Hold,RM,,قيد الانتظار,Blokováno,I venteposition,Gesperrt,En espera,Pidossa,Suspendu,Sospeso,ホールド中,In wachtstand,På hold,Zablokowane,Em espera,Заблокирована,Begränsad,保存中
Outbound Email,ACS,,رسالة إلكترونية صادرة,Odchozí e-mail,Udgående e-mail,Ausgehende E-Mails,Correo saliente,Lähtevä sähköposti,Email sortant,Posta in uscita,送信 E メール,Uitgaande e-mail,Utgående e-post,Wychodząca poczta e-mail,Email de saída,Исходящие сообщения,Utgående e-post,出站电子邮件
Outcomes,APS,,نتائج,Odchozí,Resultater,Ergebnisse,Resultados,Tulokset,Sorties,Risultati,結果,Resultaten,Resultat,Wyniki,Resultados,Результаты,Resultat,结果
Palette,APS,,,Paleta,Palet,Palette,Paleta,Valikoima,Palette,Riquadro costrutti,パレット,Palet,Palett,Paleta,Paleta,Палитра,Palett,调色板
Parents,ACS,,عناصر أصلية,Nadřazený,Overordnede,Übergeordnete Elemente,Elementos primarios,Ylätasot,Parents,Genitori,親,Bovenliggende elementen,Overordnede,Obiekty nadrzędne,Primários,Родительские элементы,Överordnad,父级
Password,APS,,كلمة سر,Heslo,Adgangskode,Passwort,Contraseña,Salasana,Mot de passe,Password,パスワード,Wachtwoord,Passord,Hasło,Senha,Пароль,Lösenord,密码
PDF Record,RM,,سجل PDF,Záznam PDF,PDF-post,PDF-Record,Documento de archivo PDF,PDF-tietue,Document d'archives Pdf,Record PDF,PDF レコード,PDF-record,PDF-oppføring,Rekord PDF,Arquivo PDF,Запись PDF,PDF-handling,PDF 记录
Plain Text,ACS,,نص عادي,Prostý text,Almindelig tekst,Nur Text,Texto plano,Vain teksti,Plein texte,Testo normale,プレーンテキスト,Platte tekst,Ren tekst,Zwykły tekst,Texto simples,Обычный текст,Ren text,纯文本
Port,ACS,Noun,,Port,Port,Port,Puerto,Portti,Port,Porta,ポート,Poort,Port,Port,Porta,Порт,Port,端口
Preview,ACS,Noun,معاينة,Náhled,Forhåndsvisning,Vorschau,Vista previa,Esikatselu,Aperçu,Anteprima,プレビュー,Voorbeeld,Forhåndsvisning,Podgląd,Pré-visualização,Предварительный просмотр,Förhandsvisning,预览
Process,APS,,عملية,Proces,Proces,Prozess,Proceso,Prosessi,Processus,Processo,プロセス,Proces,Prosess,Proces,Processo,Процесс,Process,流程
Process diagram,APS,,ُخطَط عملية,Diagram procesu,Procesdiagram,Prozessdiagramm,Diagrama del proceso,Prosessikaavio,Diagramme de processus,Diagramma del processo,プロセス図,Procesdiagram,Prosessdiagram,Schemat procesu,Diagrama de processo,Схема процесса,Processdiagram,流程图
Process initiator,APS,,بادئ عملية,Iniciátor procesu,Procesinitiativtager,Prozessinitiator,Iniciador de procesos,Prosessin käynnistäjä,Initiateur de processus,Iniziatore processo,プロセス開始者,Proces-initiatiefnemer,Prosessinitiativtager,Inicjator procesu,Iniciador de processo,Инициатор процесса,Processinitierare,流程发起者
Process model,APS,,نموذج عملية,Model procesu,Procesmodel,Prozessmodell,Modelo del proceso,Prosessimalli,Modèle de processus,Modello di processo,プロセスモデル,Procesmodel,Prosessmodell,Model procesu,Modelo de processo,Модель процесса,Processmodell,流程模型
Process Tasks,APS,,مهام عملية,Procesní úkoly,Procesopgaver,Meine Prozessaufgaben,Tareas de procesos,Prosessitehtävät,Tâches de processus,I miei compiti processo,あなたのプロセスタスク,Procestaken,Mine prosessoppgaver,Zadania procesu,Tarefas de processo,Мои задачи процессов,Processuppgifter,我的流程任务
Process variable,APS,,متغير عملية,Proměnná procesu,Procesvariabel,Prozessvariable,Variable del proceso,Prosessimuuttuja,Variable de processus,Variabile del processo,プロセス変数,Procesvariabele,Prosessvariabel,Zmienna procesu,Variável de processo,Переменная процесса,Processvariabel,流程变量
Producing Application,RM,,,Produkční aplikace,Producerende program,Quellanwendung,Produciendo aplicación,Luontisovellus,Application native,Generazione applicazione,製作アプリケーション,Producerende applicatie,Produserende program,Aplikacja generująca,Aplicativo de produção,Выпускающее приложение,Producerar program,生产应用程序
Producing Application Version,RM,,,Verze produkční aplikace,Producerende programversion,Version der Quellanwendung,Produciendo versión de la aplicación,Luontisovellusversio,Version de l'application native,Generazione versione applicazione,製作アプリケーションのバージョン,Versie producerende applicatie,Produserende programversjon,Wersja aplikacji generującej,Versão do aplicativo de produção,Версия выпускающего приложения,Producerar programversion,生产应用程序版本
Reclassify,RM,,تصنيف,Změnit klasifikaci,Reklassificer,Reklassifizieren,Reclasificar,Salaa uudelleen,Réclassifier,Riclassifica,再分類,Herclassificeren,Reklassifiser,Utajnij ponownie,R﻿eclassificar,повторное засекречивание,Klassificera om,重新分类
Record,ACS,Noun. Example: transfer records,سجل,Záznam,Post,Record,Documento de archivo,Tietue,Document d'archives,Record,"レコード, 記録 (depends on the context)",Record,Overføring,Rekord,Documento arquivístico,Запись,Handling,记录
Record Category,RM,,فئة السجل,Kategorie záznamu,Postkategori,Record-Kategorie,Categoría de documentos de archivo,Tietueluokka,Catégorie de document d'archives,Categoria record,レコードカテゴリ,Recordcategorie,Oppføringskategori,Kategoria rekordu,Categoria de documento arquivístico,Категория записей,Handlingskategori,记录类别
Record Folder,RM,,مجلد السجل,Složka záznamu,Postmappe,Record-Ordner,Carpeta de documentos de archivo,Tietuekansio,Dossier d'archives,Cartella di record,レコードフォルダ,Archiefmap,Oppføringsmappe,Folder rekordów,Pasta de documento arquivístico,Папка записей,Handlingmapp,记录文件夹
Record Level,RM,,مستوى السجل,Úroveň záznamu,Postniveau,Record-Ebene,Retención de nivel de documento de archivo,Tietuetaso,Niveau du document d'archives,Conservazione livello record,レコードレベルの保管,Retentie op recordniveau,Oppføringsnivå ved retensjon,Poziom rekordu,Retenção de nível de documento arquivístico,Хранение на уровне записи,Handlingsnivå,记录级别保留
Record Metadata,RM,,,Metadata záznamu,Postmetadata,Record-Metadaten,Metadatos de documento de archivo,Tietuemetatiedot,Métadonnées de document d'archives,Metadati del record,レコードメタデータ,Metagegevens van record,Oppføringsmetadata,Metadane rekordu,Metadados do documento arquivístico,Метаданные записи,Handlingsmetadata,记录元数据
Record Path,RM,,مسار السجل,Cesta k záznamu,Poststi,Record-Pfad,Ruta de documentos de archivo,Tietuepolku,Chemin d'accès du document d'archives,Crea percorso del record,レコードパスの作成,Recordpad,Opprett oppføringsbane,Ścieżka rekordu,Criar caminho do documento arquivístico,Создание пути к записи,Handlingssökväg,创建记录路径
Record Type,RM,,,Typ záznamu,Posttype,Record-Typ,Tipo de documento de archivo,Tietuetyyppi,Type de document d'archives,Tipo di record,レコードタイプ,Recordtype,Oppføringstype,Typ rekordu,Tipo de documento arquivístico,Тип записи,Handlingstyp,记录类型
Records Management,ACS,"Product Name, please do not localise unless it appears as a generic description",,Správa záznamů,Records Management,Records Management,Records Management,Records Management / Tietuehallinta,Records Management,Records Management,Records Management,Records Management,Records Management,Records Management,Records Management,Records Management,Records Management,Records Management
Records Management Console,RM,,,Konzole pro správu záznamů,Records Management-konsol,Records Management Audit,Auditoría de Records Management,Tietuehallintakonsoli,Audit de gestion des archives,Utente di Records Management,レコード管理監査,Records Management-audit,Revisjon ved oppføringshåndtering,Konsola Records Management,Auditoria do Records Management,Пользователь управления записями,Records Management-konsol,记录管理用户
Records Management Site,RM,,,Místo pro správu záznamů,Records Management-site,Records Management Site,Sitio de Records Management,Tietuehallintasivusto,Site de gestion des archives,Sito di Records Management,レコード管理サイト,Locatie Records Management,Sted til oppføringshåndtering,Witryna Records Management,Site do Records Management,Сайт управления записями,Records Management-samarbetsyta,记录管理站点
Reject Record,RM,,رفض السجل,Zamítnout záznam,Afvis post,Record ablehnen,Rechazar documento de archivo,Hylkää tietue,Rejeter le document d'archives,Respingi record,レコードの却下,Record afwijzen,Avvis oppføring,Odrzuć rekord,Rejeitar documento arquivístico,Отклонить запись,Avvisa handling,拒绝记录
Relationship,RM,,الصلة,Vztah,Relation,Beziehung,Relación,Suhde,Relation,Relazione,関係,Relatie,Forhold,Relacja,Relacionamento,Отношение,Relation,关系
Remove from Hold,RM,,,Odebrat z blokování,Fjern fra venteposition,Vom Sperrbereich entfernen,Eliminar de bloqueo,Poista pidosta,Supprimer de la suspension,Rimuovi da sospesi,ホールドから削除,Verwijderen uit wachtstand,Fjern fra hold,Usuń z blokady,Remover da espera,Разблокировать,Flytta från begränsning,解除保存
Report,RM,Noun,,Záznam,Rapport,Bericht,Informe,Raportti,Rapport,Rapporto,レポート,Rapport,Rapport,Raport,Relatório,Отчет,Rapport,报告
Repository,ACS,The main repository of Alfresco is organized into 2 parts: the database (which contains metadata) and the content store (which contains the actual content).,مستودع,Úložiště,Lager,Repository,Repositorio,Säilö,Entrepôt,Repository,リポジトリ,Repository,Database,Repozytorium,Repositório,Репозиторий,Arkiv,存储库
Required Field,RM,,,Požadované pole,Påkrævet felt,Pflichtfeld,Campo requerido,Pakollinen kenttä,Champ obligatoire,Campo obbligatorio,必須フィールド,Vereist veld,Påkrevd felt,Pole wymagane,Campo obrigatório,Необходимое поле,Obligatoriskt fält,必填字段
Retain,RM,,استبقاء,Uchovat,Behold,Aufbewahren,Retiene,Säilytä,Conserver,Conserva,保管,Behouden,Behold,Zachowaj,Manter,Хранить,Bevara,保留
Retain Record Metadata,RM,,الاحتفاظ بسجلات البيانات الوصفية,Uchovat metadata záznamu,Behold postmetadata,Record-Metadaten Aufbewahren,Retener metadatos de documento de archivo,Säilytä tietuemetatiedot,Conserver des métadonnées de document d'archives,Conserva metadati del record,レコードメタデータの追加,Metagegevens van record Behouden,Legg til registrering av metadata,Zachowaj metadane rekordu,Manter metadados do documento arquivístico,Хранить метаданные записи,Bevara handlingsmetadata,添加记录元数据
Retention,RM,Indication of continuation to be kept/maintained and its disposition ***NOT THE SAME CONCEPT AS HOLD ,احتفاظ,Uchování,Opbevaring,Aufbewahrung,Retención,Säilytys,Conservation,Conservazione,保管,Retentie,Retensjon,Przechowywanie,Retenção,Хранение,Bevarande,保留
Retention Action,RM,,,Akce uchování,Opbevaringshandling,Aufbewahrungsaktion,Acción de retención,Säilytystiedot,Action de conservation,Azione di conservazione,保管処理,Retentieactie,Retensjonshandling,Czynność przechowywania,Ação de retenção,Действие по хранению,Bevarandehandling,保留操作
Retention Authority,RM,,سلطة الاحتفاظ,Autorita uchování,Opbevaringsautoritet,Aufbewahrungs-Authority,Autoridad de retención,Säilytysauktoriteetti,Détenteur principal,Autorità di conservazione,保管権限,Retentieautoriteit,Retensjonsrett,Podmiot przechowujący,Autoridade de retenção,Полномочия на хранение,Bevarandebehörighet,保留授权
Retention Event,RM,,حدث الاستبقاء,Událost uchování,Opbevaringshændelse,Aufbewahrungsereignis,Evento de retención,Säilytystapahtuma,Evénement de conservation,Evento di conservazione,保管イベント,Retentiegebeurtenis,Retensjonshendelse,Zdarzenie przechowywania,Evento de retenção,Событие хранения,Bevarandehändelse,保留事件
Retention Events Eligible,RM,,,Splňující požadavky pro událost uchování,Kvalificerede opbevaringshændelser,Erlaubte Aufbewahrungsereignisse,Eventos de retención elegibles,Oikeutetut säilytystapahtumat,Evénements de conservation éligibles,Eventi di conservazione idonei,実行可能な保管イベント,In aanmerking komende retentiegebeurtenissen,Kvalifiserte retensjonshendelser,Zakwalifikowane zdarzenia przechowywania,Eventos de retenção qualificados,Допустимые события хранения,Valbara bevarandehändelser,符合保留事件条件
Retention lifecycle,RM,,,Cyklus uchování,Opbevaringslivscyklus,Aufbewahrungszyklus,Ciclo de vida de retención,Säilytyselinkaari,Etapes du délai de conservation,Ciclo di vita di conservazione,保管ライフサイクル,Retentiecyclus,Livssyklus ved retensjon,Cykl przechowywania,Ciclo de vida de retenção,Жизненный цикл хранения,Bevarandelivscykel,保留生命周期
Retention Period,RM,,,Délka uchování,Opbevaringsperiode,Aufbewahrungszeitraum,Periodo de retención,Säilytyskausi,Période de conservation,Periodo di conservazione,保管期間,Retentieperiode,Retensjonsperiode,Okres przechowywania,Período de retenção,Период хранения,Bevarandeperiod,保留周期
Retention Schedule,RM,"A comprehensive list of records series, indicating for each the length of time it is to be maintained and its disposition.",الجدول الزمني للاحتفاظ,Plán uchovávání,Opbevaringsplan,Aufbewahrungsplan,Planificación de retención,Säilytysaikataulu,Règle de conservation,Programma di conservazione,保管スケジュール,Retentieschema,Retensjonsplan,Harmonogram przechowywania,Programação de retenção,График хранения,Bevarandeschema,保留计划
Review,ACS,Verb,مراجعة,Ověřit,Gennemgå,Überprüfen,Revisar,Tarkista,Réviser,Esamina,レビュー,Reviseren,Gjennomgå,Przegląd,Revisar,Проверить,Granska,复查
Review and Approve (group review),ACS,,,Ověřit a schválit (skupinová kontrola),Gennemgå og godkend (gruppegennemsyn),Überprüfen und genehmigen (Gruppenüberprüfung),Revisar y aprobar (revisión en grupo),Tarkista ja hyväksy (joukkotarkistus),Réviser et approuver (en mode groupe),Esamina e approva (esame di gruppo),レビューと承認 (グループによるレビュー),Reviseren en goedkeuren (groepsrevisie),Gjennomgå og godkjenn (gruppegjennomgang),Przegląd i zatwierdzenie (przegląd grupowy),Revisar e aprovar (revisão em grupo),Проверка и утверждение (проверка группой),Granska och godkänn (gruppgranskning),复查和批准（组复查）
Rule Set,RM,,مجموعة القواعد,Sada pravidel,Regelsæt,Regelsatz,Conjunto de reglas,Sääntöjoukko,Ensemble de règles,Set di regole,ルールセット,Regelset,Regelsett,Zestaw reguł,Conjunto de regras,Набор правил,Regelverk,规则集
Scanned Record,RM,,,Naskenovaný záznam,Scannet post,Eingescannter Record,Documento de archivo escaneado,Skannattu tietue,Document d'archives numérisé,Record scansionato,スキャンされたレコード,Gescande record,Skannet oppføring,Zeskanowany rekord,Documento arquivístico digitalizado,Отсканированная запись,Inskannad handling,扫描的记录
Schema,APS,,,Schéma,Skema,Schema,Esquema,Rakenne,Schéma,Schema,スキーマ,Schema,Skjema,Schemat,Esquema,Схема,Schema,架构
